epoch,accuracy,dice_coeff,loss,lr,mean_absolute_error,mean_io_u,my_haud_dist,my_iou_metric,precision,recall,val_accuracy,val_dice_coeff,val_loss,val_mean_absolute_error,val_mean_io_u,val_my_haud_dist,val_my_iou_metric,val_precision,val_recall
0,0.46166229248046875,0.5650987029075623,0.2609405815601349,0.001,0.527288556098938,0.14664459228515625,8.387923240661621,0.0007326007471419871,0.6543869972229004,0.5049228072166443,0.31581878662109375,0.295046329498291,0.4229731559753418,0.6487202048301697,0.1446380615234375,10.216059684753418,0.0,0.7671632766723633,0.053619734942913055
1,0.8487396240234375,0.7171545624732971,0.16970719397068024,0.001,0.3427395820617676,0.14664459228515625,7.407732009887695,0.002705882303416729,0.9866707921028137,0.7967289090156555,0.7898788452148438,0.7010402679443359,0.17937570810317993,0.32989490032196045,0.1446380615234375,7.308390140533447,0.011005692183971405,0.9994215369224548,0.7047640681266785
2,0.933868408203125,0.7369461059570312,0.15783274173736572,0.001,0.3197287917137146,0.14664459228515625,6.173130989074707,0.012331080622971058,0.9982316493988037,0.9080319404602051,0.9255447387695312,0.8902965784072876,0.06582190841436386,0.14092573523521423,0.1446380615234375,3.7207775115966797,0.02500000037252903,0.9993892312049866,0.8957877159118652
3,0.9471054077148438,0.741048276424408,0.15537117421627045,0.001,0.3148706555366516,0.14664459228515625,5.772095203399658,0.020692389458417892,0.9992892146110535,0.9258123636245728,0.9374160766601562,0.9327415823936462,0.04035502299666405,0.08975164592266083,0.1446380615234375,3.3875527381896973,0.03166666626930237,0.9992360472679138,0.912641167640686
4,0.9576873779296875,0.7441591024398804,0.1535046100616455,0.001,0.31127434968948364,0.14664459228515625,5.760405540466309,0.02649136632680893,0.9997245669364929,0.9403864741325378,0.9419174194335938,0.9453285336494446,0.03280292823910713,0.07379618287086487,0.1446380615234375,3.182577133178711,0.035082459449768066,0.9992296695709229,0.9189853668212891
5,0.9620208740234375,0.7461835145950317,0.1522902399301529,0.001,0.30894771218299866,0.14664459228515625,5.669068813323975,0.029153605923056602,0.999680757522583,0.9465615749359131,0.9439926147460938,0.9505100250244141,0.029694050550460815,0.0671146810054779,0.1446380615234375,3.187269687652588,0.04206521809101105,0.9993017911911011,0.9218407869338989
6,0.9642105102539062,0.7472997307777405,0.15162020921707153,0.001,0.3076432943344116,0.14664459228515625,5.802703857421875,0.03596256673336029,0.9996817708015442,0.9496599435806274,0.9454116821289062,0.953131377696991,0.028121119365096092,0.06370903551578522,0.1446380615234375,3.1931090354919434,0.05147058889269829,0.9993380904197693,0.9238052368164062
7,0.9656982421875,0.7480685710906982,0.15115885436534882,0.001,0.3067222833633423,0.14664459228515625,5.813088893890381,0.037857141345739365,0.9998412132263184,0.9516139626502991,0.9467391967773438,0.954605221748352,0.02723691239953041,0.061786897480487823,0.1446380615234375,3.2007391452789307,0.07500000298023224,0.9993510246276855,0.9256623387336731
8,0.967315673828125,0.7486200928688049,0.1508280336856842,0.001,0.30604472756385803,0.14664459228515625,5.727081775665283,0.07000000029802322,0.9998302459716797,0.9539133906364441,0.94769287109375,0.9553938508033752,0.026763778179883957,0.060756273567676544,0.1446380615234375,3.210408926010132,0.10000000149011612,0.9993519186973572,0.9270041584968567
9,0.9687652587890625,0.7493554949760437,0.15038679540157318,0.001,0.3051612377166748,0.14664459228515625,5.819203853607178,0.07407407462596893,0.9998531937599182,0.9559429883956909,0.9479904174804688,0.9557542204856873,0.026547439396381378,0.060284897685050964,0.1446380615234375,3.2192511558532715,0.10125000029802322,0.999352216720581,0.927422821521759
10,0.9702987670898438,0.7498266696929932,0.15010422468185425,0.001,0.3045738935470581,0.14664459228515625,5.76472806930542,0.04500000178813934,0.9999324083328247,0.9580373764038086,0.9483642578125,0.9557892084121704,0.026526454836130142,0.060238346457481384,0.1446380615234375,3.2259392738342285,0.0771428570151329,0.9993525743484497,0.9279488325119019
11,0.9708633422851562,0.7502861022949219,0.14982837438583374,0.001,0.3040068447589874,0.14664459228515625,5.766498565673828,0.0634615421295166,0.9998874068260193,0.9588794112205505,0.9488372802734375,0.955575168132782,0.02665485255420208,0.06051689758896828,0.1446380615234375,3.2300751209259033,0.08250000327825546,0.9993646144866943,0.9286036491394043
12,0.97161865234375,0.750561535358429,0.14966322481632233,0.001,0.303646057844162,0.14664459228515625,5.794584274291992,0.05833333358168602,0.9999212622642517,0.959915816783905,0.9492416381835938,0.955165445804596,0.0269007608294487,0.061050355434417725,0.1446380615234375,3.230311870574951,0.11590909212827682,0.9993880391120911,0.9291511178016663
13,0.9719619750976562,0.7507284879684448,0.14956285059452057,0.001,0.3034064769744873,0.14664459228515625,5.818202972412109,0.07692307978868484,0.9999662637710571,0.9603584408760071,0.9495697021484375,0.9546025395393372,0.027238402515649796,0.061782777309417725,0.1446380615234375,3.225924253463745,0.10928571224212646,0.9993883371353149,0.9296126961708069
14,0.9727249145507812,0.7510339021682739,0.14937971532344818,0.001,0.30300742387771606,0.14664459228515625,5.775707244873047,0.08846154063940048,0.9999663233757019,0.961438000202179,0.9499282836914062,0.9538979530334473,0.027661291882395744,0.06269848346710205,0.1446380615234375,3.217257022857666,0.10625000298023224,0.9994001984596252,0.9301064610481262
15,0.9726028442382812,0.7511447072029114,0.1493133157491684,0.001,0.30284371972084045,0.14664459228515625,5.8087921142578125,0.0912698432803154,1.0,0.9612328410148621,0.9502487182617188,0.9530438780784607,0.028173577040433884,0.06380714476108551,0.1446380615234375,3.207184076309204,0.08461538702249527,0.9994004964828491,0.930557370185852
