epoch,accuracy,dice_coeff,loss,lr,mean_absolute_error,mean_io_u_6,my_haud_dist,my_iou_metric,precision_6,recall_6,val_accuracy,val_dice_coeff,val_loss,val_mean_absolute_error,val_mean_io_u_6,val_my_haud_dist,val_my_iou_metric,val_precision_6,val_recall_6
0,0.786529541015625,0.6972833871841431,0.1816294938325882,0.001,0.3636023700237274,0.14664459228515625,7.101992130279541,0.00800000037997961,0.9997990131378174,0.6980783939361572,0.9621810913085938,0.9460754990577698,0.032354727387428284,0.07299013435840607,0.1446380615234375,2.597984790802002,0.675000011920929,1.0,0.9467881917953491
1,0.845977783203125,0.710199236869812,0.17388048768043518,0.001,0.34890347719192505,0.14664459228515625,6.530637264251709,0.019059278070926666,0.9999861717224121,0.7820684313774109,0.9582672119140625,0.9310494065284729,0.04137038439512253,0.09175683557987213,0.1446380615234375,2.8519248962402344,0.675000011920929,1.0,0.9412813186645508
2,0.9257049560546875,0.7386542558670044,0.15680724382400513,0.001,0.3173498511314392,0.14664459228515625,5.9791059494018555,0.028431372717022896,0.9999879598617554,0.89488285779953,0.943511962890625,0.8689818382263184,0.07861118018627167,0.164701446890831,0.1446380615234375,4.359190464019775,0.24038460850715637,1.0,0.9205204248428345
3,0.9449081420898438,0.7435429096221924,0.15387381613254547,0.001,0.31187742948532104,0.14664459228515625,6.116517543792725,0.14464285969734192,1.0,0.9220446944236755,0.8332290649414062,0.7993805408477783,0.12037133425474167,0.23755042254924774,0.1446380615234375,6.72727108001709,0.1508064568042755,1.0,0.7653505802154541
4,0.94580078125,0.7440981864929199,0.1535414606332779,0.001,0.3111746907234192,0.14664459228515625,6.050429821014404,0.5210526585578918,1.0,0.9233077764511108,0.7607421875,0.7647756934165955,0.141134575009346,0.2707168757915497,0.1446380615234375,7.412810802459717,0.012500000186264515,1.0,0.6633603572845459
5,0.9581756591796875,0.7457937598228455,0.15252341330051422,0.001,0.3092295229434967,0.14664459228515625,5.924136638641357,0.24166665971279144,1.0,0.9408183097839355,0.7512969970703125,0.7594341039657593,0.14433927834033966,0.27567243576049805,0.1446380615234375,7.419301509857178,0.011290322989225388,1.0,0.65007084608078
6,0.9630508422851562,0.7471715807914734,0.1516968160867691,0.001,0.3076380491256714,0.14664459228515625,5.873536586761475,0.20000000298023224,0.9999772310256958,0.9477382898330688,0.7751235961914062,0.769732654094696,0.1381606161594391,0.266080379486084,0.1446380615234375,7.2967915534973145,0.021052632480859756,1.0,0.6835952401161194
7,0.9652633666992188,0.747962474822998,0.15122230350971222,0.001,0.3066965341567993,0.14664459228515625,5.75332498550415,0.3400000035762787,1.0,0.9508474469184875,0.8079910278320312,0.7845035791397095,0.12929767370224,0.25203797221183777,0.1446380615234375,7.076010704040527,0.03999999910593033,1.0,0.7298402786254883
8,0.9663467407226562,0.7486132979393005,0.1508319228887558,0.001,0.3059089779853821,0.14664459228515625,5.731616973876953,0.699999988079071,0.9999773502349854,0.9524020552635193,0.831695556640625,0.7969566583633423,0.12182614207267761,0.2399311065673828,0.1446380615234375,6.705482006072998,0.15000000596046448,1.0,0.7631929516792297
9,0.9665679931640625,0.7490179538726807,0.1505890190601349,0.001,0.3054112195968628,0.14664459228515625,5.723424911499023,0.4000000059604645,1.0,0.952693521976471,0.8458175659179688,0.8046501278877258,0.1172102615237236,0.23232540488243103,0.1446380615234375,6.478496551513672,0.22578124701976776,1.0,0.7830628156661987
10,0.967315673828125,0.7494081258773804,0.15035508573055267,0.001,0.3049243688583374,0.14664459228515625,5.632785320281982,0.75,1.0,0.9537515044212341,0.851104736328125,0.807409405708313,0.11555468291044235,0.22957420349121094,0.1446380615234375,6.397009372711182,0.11349999904632568,1.0,0.7905019521713257
11,0.96746826171875,0.7497329711914062,0.15016025304794312,0.000100000005,0.3045331835746765,0.14664459228515625,5.646933555603027,0.6666666865348816,1.0,0.9539673924446106,0.8625411987304688,0.8112664222717285,0.11323980987071991,0.22570928931236267,0.1446380615234375,6.214284896850586,0.22672413289546967,1.0,0.8065932393074036
12,0.967620849609375,0.7496247887611389,0.15022510290145874,0.000100000005,0.3046402335166931,0.14664459228515625,5.662946701049805,1.0,1.0,0.9541832804679871,0.8729476928710938,0.8140862584114075,0.11154797673225403,0.22286979854106903,0.1446380615234375,6.061967849731445,0.22651514410972595,1.0,0.8212353587150574
13,0.9673385620117188,0.7498034238815308,0.15011820197105408,0.000100000005,0.3044337332248688,0.14664459228515625,5.628146648406982,0.75,1.0,0.9537838697433472,0.8821792602539062,0.8160696625709534,0.11035782098770142,0.220866858959198,0.1446380615234375,5.935560703277588,0.45446428656578064,1.0,0.834224283695221
14,0.9677734375,0.7498040199279785,0.15011747181415558,0.000100000005,0.30443158745765686,0.14664459228515625,5.628995895385742,1.0,1.0,0.9543992280960083,0.8905715942382812,0.8173545598983765,0.10958713293075562,0.2195691466331482,0.1446380615234375,5.831709384918213,0.45490196347236633,1.0,0.846032440662384
15,0.9675674438476562,0.7498096227645874,0.15011440217494965,0.000100000005,0.30442190170288086,0.14664459228515625,5.601949214935303,0.625,1.0,0.9541077613830566,0.8980941772460938,0.81815105676651,0.10910946875810623,0.21876774728298187,0.1446380615234375,5.751476764678955,0.455454558134079,1.0,0.8566168546676636
